brand;model;generation;version;productionYear;mileage;enginePowerKW;engineCapacity;bodyType;bodyTypeText;fuelType;fuelTypeText;price;currency
BMW;Seria 3;Seria 3 Limuzyna (E90);318d (122 KM);2007;208000.0;90.0;2993.0;SEDAN;Sedan;DIESEL;Diesel;15000;PLN
Volkswagen;Caravelle;Inny;Inny;2024;5.0;110.0;1968.0;KOMBI;Kombi;DIESEL;Diesel;232164;PLN
Hyundai;i30;Inny;Inny;2022;29780.0;88.0;998.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;65860;PLN
Audi;TT;TT Coupe (8S);2.0 TDI ultra (184 KM);2015;214000.0;135.0;2000.0;COUPE;Coupe;DIESEL;Diesel;77900;PLN
Cupra;Formentor;Inny;Inny;2023;19268.0;110.0;1498.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;124900;PLN
Volkswagen;Passat;Inny;Inny;2020;136003.0;110.0;1968.0;SEDAN;Sedan;DIESEL;Diesel;71100;PLN
Ford;Kuga;Inny;Inny;2022;40450.0;140.0;1995.0;SUV;SUV;DIESEL;Diesel;144900;PLN
Kia;Picanto;Picanto III (facelift 2020);1.0 (67 KM);2021;44800.0;50.0;998.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;45900;PLN
Kia;Ceed;Cee'd I (facelift 2009);Inny;2013;55456.0;73.0;1396.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;32900;PLN
Skoda;Karoq;Inny;Inny;2024;4.0;140.0;1984.0;SUV;SUV;GASOLINE;Benzyna;183520;PLN
Skoda;Karoq;Inny;Inny;2024;4.0;110.0;1498.0;SUV;SUV;GASOLINE;Benzyna;166920;PLN
Kia;Niro;Niro I;1.6 GDI (141 KM) Plug-in Hybrid DCT;2017;134000.0;104.0;1600.0;HATCHBACK;Hatchback;HYBRID;Hybrydowy;74900;PLN
Opel;Karl;Karl;1.0 (73 KM);2017;141121.0;55.0;999.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;24900;PLN
Audi;A6;Inny;Inny;2004;370000.0;160.0;2976.0;SEDAN;Sedan;LPG;LPG;11900;PLN
Kia;Niro;Inny;Inny;2023;10000.0;;0.0;SUV;SUV;EV;Elektryczny;138900;PLN
Nissan;Patrol;Inny;Inny;1993;350000.0;85.0;2826.0;OTHER;Nieznany;DIESEL;Diesel;35000;PLN
Peugeot;Partner;Partner II Tepee (Phase III, 2015);Inny;2018;186250.0;73.0;1600.0;MINIVAN;Minivan;DIESEL;Diesel;55000;PLN
Ford;Focus;Focus III Sedan;Inny;2011;207000.0;77.0;1600.0;SEDAN;Sedan;LPG;LPG;25800;PLN
Ford;Mondeo;Inny;Inny;2019;102525.0;140.0;1997.0;OTHER;Nieznany;DIESEL;Diesel;94900;PLN
Peugeot;207;207 SW;1.4 VTi (95 KM);2010;172000.0;70.0;1397.0;KOMBI;Kombi;GASOLINE;Benzyna;10500;PLN
